,VALUE,label_id,label
33,"Andar Ismail, 2018, Selamat Paskah, Jakarta, BPK Gunung Mulia",1,Announcement
34,"Adrianus Sunarko, 2018, Kepada Allah Kita Berharap, Yogyakarta, Maharsa Publishing",1,Announcement
35,"Choan Seng Song, 2012, Allah yang Turut Menderita, Jakarta, BPK Gunung Mulia",1,Announcement
36,"E. Martasudjita, Pr., 2004, Tuhan yang Kita Sembah Pada Salib, Yogyakarta, Kanisius",1,Announcement
37,"Eko Riyadi, Pr., 2011, Yesus Kristus Tuhan Kita, Yogyakarta, Kanisus",1,Announcement
38,"Fletcher, 2007, Lihatlah Sang Manusia, Jakarta, BPK Gunung Mulia",1,Announcement
39,"Louis M. Bermejo, 2009, Misteri Makam Kosong, Yogyakarta, Kanisius",1,Announcement
40,"Marinus Hendrik Bolkestein, 1991, Kerajaan yang Terselubung, Jakarta, BPK Gunung Mulia",1,Announcement
41,"Raymond E. Brown, 1995, Kristus yang Bangkit Pada Masa Paskah. Yogyakarta, Kanisius",1,Announcement
42,"Roberth Davidson, 1998, Alkitab Berbicara, Jakarta, BPK Gunung Mulia",1,Announcement
43,"Surip Stanislaus, OFMCap., 2007, Rahasia Di Balik Paskah, Yogyakarta, Kanisius",1,Announcement
154,"Barth-Frommel, M.C. & Pareira, B.A. 2015. Tafsiran Alkitab: Kitab Mazmur 1-72 Pembimbing dan Tafsirannya. Jakarta: PT. BPK. Gunung Mulia.",1,Announcement
155,"Collins, J.J. 2004. Introduction to The Hebrew Bible. Fortress Press: Minneapolis",1,Announcement
156,"Hadiwijono, H. 2007. Iman Kristen. Jakarta: PT. BPK. Gunung Mulia.",1,Announcement
157,"Marxen, W. 2006. Pengantar Perjanjian Baru: Pendekatan Kritis Terhadap Masalah-masalahnya. Jakarta: PT. BPK. Gunung Mulia.",1,Announcement
158,"Van Bruggen, J. 2006. Markus: Injil Menurut Petrus. Jakarta: PT. BPK. Gunung Mulia.",1,Announcement
581,PANGGILAN BERIBADAH 	(Umat Berdiri),1,Announcement
582,"M1:	Saudara yang dikasihi Tuhan, mari kita masuki ibadah Rabu Abu dengan hati yang tertuju kepada Tuhan. Kita awali ibadah ini dengan bersama-sama menyanyikan PKJ 13:1-2",1,Announcement
603,KATA PEMBUKA 	(Umat Duduk),1,Announcement
604,"M2:	Pemazmur pernah berkata: ""Adapun manusia, hari-harinya seperti rumput, seperti bunga di padang demikianlah ia berbunga: apabila angin melintasinya maka tidak ada lagi ia, dan tempatnya tidak mengenalnya lagi."" (Mazmur 103:15-16). Itulah kita, manusia yang tinggi hati dan sering membanggakan diri. Melalui ibadah ini, kita akan bersama-sama belajar merendahkan diri di hadapan Tuhan dalam tema: Koyakkanlah Hatimu!",1,Announcement
605,"U:	(menyanyikan KJ 4:1,5)",1,Announcement
618,"U:	(Menyanyi PKJ 43:1, dinyanyikan dua kali)",1,Announcement
619,"PKJ 43 ""TUHAN, KAMI BERLUMURAN DOSA""",1,Announcement
623,(Organis tetap memainkan instrumentalia PKJ 43 selama berlangsungnya pengolesan abu),1,Announcement
624,"PF	:	Saudara-saudara, abu ini adalah lambang kerendahan. Mari kita oleskan di dahi sebagai tanda bahwa kita menyadari kerendahan kita di hadapan Tuhan…",1,Announcement
625,Abu ini adalah lambang kefanaan. Mari kita oleskan di dahi sebagai tanda bahwa kita menyadari bahwa kita ini debu dan akan kembali menjadi debu…,1,Announcement
626,Abu ini adalah lambang permohonan. Mari kita oleskan di dahi sebagai tanda bahwa kita sungguh-sungguh bertobat dan mengharapkan belas kasih Allah,1,Announcement
627,"PF dan Majelis Gereja memulai pengolesan abu di dahi masing-masing, diikuti oleh seluruh peserta ibadah. Sebaiknya pengolesan abu dilakukan masing-masing (bukan dioleskan oleh pendeta) untuk menunjukkan bahwa pertobatan itu lahir dari kesungguhan hati pribadi lepas pribadi.",1,Announcement
628,BERITA ANUGERAH 	(Umat Berdiri),1,Announcement
629,"PF	:	Bagi setiap orang yang sungguh-sungguh bertobat, Tuhan menyatakan anugerah-Nya: ""Sekalipun dosamu merah seperti kirmizi, akan menjadi putih seperti salju; sekalipun berwarna merah seperti kain kesumba, akan menjadi putih seperti bulu domba"" (Yesaya 18:1).",1,Announcement
630,Demikianlah berita anugerah dari Tuhan,1,Announcement
631,U:	Puji dan syukur kepada Tuhan!,1,Announcement
632,(Menyanyikan KJ 40:1-2),1,Announcement
638,PELAYANAN FIRMAN 	(Umat Duduk),1,Announcement
639,PF:	(Doa Epiklese),1,Announcement
641,"L1:	Bacaan pertama dari Yoel 2:1-2, 12-17",1,Announcement
642,Demikianlah Sabda Tuhan,1,Announcement
643,U:	Syukur kepada Allah,1,Announcement
644,Mazmur Tanggapan,1,Announcement
645,L2:	Mari kita tanggapi Firman Tuhan dengan membaca Mazmur 51 secara litani (bisa juga didaraskan),1,Announcement
647,L3:	Bacaan kedua dari II Korintus 5:20-6:10,1,Announcement
648,Demikianlah Sabda Tuhan,1,Announcement
649,U:	Syukur kepada Allah,1,Announcement
650,Pembacaan Injil,1,Announcement
651,"PF:	Pembacaan Injil, dari Matius 6:1-6, 16-21",1,Announcement
652,"Demikian Injil Yesus Kristus, yang berbahagia ialah mereka yang mendengarkan Firman Tuhan dan yang memeliharanya. HOSIANA.",1,Announcement
653,U: 	(menyanyikan HOSIANA),1,Announcement
654,Khotbah: Koyakkanlah Hatimu!,1,Announcement
656,PENGAKUAN IMAN 	(Umat Berdiri),1,Announcement
657,"M3:	Saudaraku yang terkasih, Sabda Tuhan hari ini telah meneguhkan iman kita, maka marilah menyatakan pengakuan iman kita dengan bersama mengucapkan Pengakuan Iman Rasuli",1,Announcement
658,U:	(Bersama-sama mengucapkan Pengakuan Iman Rasuli),1,Announcement
659,DOA SYAFAAT 	(Umat Duduk),1,Announcement
660,"PF:	(Menaikkan doa syafaat, bisa diakhiri dengan Doa Bapa Kami)",1,Announcement
662,"M4:	Saudara yang dikasihi dan diberkati Tuhan, marilah menyatakan syukur kepada Tuhan atas kasih dan pemeliharaan-Nya dalam hidup kita, dengan mengingat Mazmur 145:15-16, ""Mata sekalian orang menantikan Engkau, dan Engkau pun memberi mereka makanan pada waktunya; engkau yang membuka tangan-Mu dan yang berkenan mengenyangkan segala yang hidup""",1,Announcement
663,U:	(menghaturkan persembahan dan pujian KJ 287b:1-3),1,Announcement
676,DOA PERSEMBAHAN 	(Umat Berdiri),1,Announcement
677,M4:	(Memimpin doa persembahan),1,Announcement
678,PENGUTUSAN (DENGAN NYANYIAN),1,Announcement
679,U:	(Menyanyikan PKJ 179:1-2),1,Announcement
694,"PF:	Terimalah berkat Tuhan,",1,Announcement
695,"""TUHAN memberkati engkau dan melindungi engkau; TUHAN menyinari engkau dengan wajah-Nya dan memberi engkau kasih karunia; TUHAN menghadapkan wajah-Nya kepadamu dan memberi engkau damai sejahtera"" (Bilangan 6:24-26)",1,Announcement
696,U:	(menyanyikan HOSIANA 5x AMIN 3x).,1,Announcement
699,PANGGILAN BERIBADAH 	(Umat Berdiri),1,Announcement
700,"M1:	Saudara yang dikasihi dan mengasihi Tuhan, pelangi merupakan goresan indah yang Tuhan lukiskan di awan. Banyak orang mengartikan warna merah sebagai gambaran sebuah energi yang kuat. Jingga memberikan kesan hangat nan semangat. Kuning menggambarkan keceriaan. Hijau adalah warna alam dan membawa suasana yang santai. Biru yang menenangkan dan membangkitkan kepercayaan. Nila menggambarkan warna dimana ada sebuah idealisme dan mengantarkan kita pada introspeksi diri. Ungu memancarkan kebijaksanaan dan visioner.",1,Announcement
701,Pelangi yang indah mengingatkan kasih setia Allah yang memberikan rancangan indah bagi umat. Pelangi sebagai busur yang tak putus mengingatkan kembali akan kasih setia Allah yang tak terputus. Kita masuki ibadah Minggu Prapaska ke 1 dengan penghayatan bahwa Tuhan Allah yang senantiasa setia ada bersama kita dalam setiap situasi. Mari bersama kita memuji Tuhan dengan menyanyikan NKB 34:1-2.,1,Announcement
713,KATA PEMBUKA 	(Umat Duduk),1,Announcement
714,"M2:	Janji Tuhan Allah kepada manusia selalu indah dan tepat pada waktunya. Dia adalah setia dan adil sepanjang hidup umat manusia. Dia selalu menopang kita dimanapun serta kapanpun. Mazmur 25:10 „Segala jalan TUHAN adalah kasih setia dan kebenaran---bagi orang yang berpegang pada perjanjian-Nya--dan peringatan-peringatan-Nya""",1,Announcement
715,U:	(menyanyikan PKJ 165:1-2),1,Announcement
734,BERITA ANUGERAH 	(Umat Berdiri),1,Announcement
735,"PF:	Kasih setia Allah sungguh nyata dalam hidup umat -Nya. Sekalipun dosa dan kejahatan yang telah dilakukan, namun jika mau memperbaiki diri maka Tuhan Allah memberikan pengampunan-Nya. Seperti sabda-Nya ""Karena semua orang telah berbuat dosa-dan telah kehilangan kemuliaan Allah,-dan oleh kasih karunia-telah dibenarkan-dengan cuma-cuma karena penebusan-dalam Kristus Yesus""-(Roma 3:23-24).",1,Announcement
736,"U:	(Menyanyikan KJ 372:1,3)",1,Announcement
743,PELAYANAN FIRMAN 	(Umat Duduk),1,Announcement
744,PF:	(Doa Epiklese),1,Announcement
746,L1:	Bacaan pertama dari Kejadian 9:8-17,1,Announcement
747,Demikianlah Sabda Tuhan,1,Announcement
748,U:	Syukur kepada Allah,1,Announcement
749,Mazmur Tanggapan,1,Announcement
750,"L2:	Mari kita menanggapi Sabda Tuhan Kejadian 9:8-17, dengan membaca Mazmur 25:1-10 secara bersahutan (dapat didaraskan).",1,Announcement
752,L3:	Bacaan kedua dari 1 Petrus 3:18-22,1,Announcement
753,Demikianlah Sabda Tuhan,1,Announcement
754,U:	Syukur kepada Allah,1,Announcement
755,Pembacaan Injil,1,Announcement
756,"PF:	Pembacaan Injil, dari Markus 1:9-15",1,Announcement
757,"Demikian Injil Yesus Kristus, yang berbahagia ialah mereka yang mendengarkan Firman Tuhan dan yang memeliharanya. HOSIANA.",1,Announcement
758,U: 	(menyanyikan HOSIANA),1,Announcement
759,"Khotbah ""Berpengharapan dalam perjanjian Allah""",1,Announcement
761,Pengakuan Iman 	(Umat Berdiri),1,Announcement
762,"M4:	Bersama dengan umat Allah di sepanjang masa, kita mengikrarkan dan kita teguhkan kembali akan apa yang kita imani dengan bersama mengucapkan Pengakuan Iman Rasuli.",1,Announcement
763,U:	(Bersama-sama mengucapkan Pengakuan Iman Rasuli),1,Announcement
764,Doa Syafaat 	(Umat Duduk),1,Announcement
765,PF:	(Menaikkan doa syafaat diakhiri dengan menyanyikan doa Bapa Kami),1,Announcement
767,M5:	Janji Tuhan Allah selalu digenapi dalam hidup kita. Janji pemeliharaan Tuhan Allah selalu ada sepanjang hidup kita. Marilah kita mengungkapakan syukur atas berkat Tuhan dengan mengumpulkan persembahan.,1,Announcement
768,U:	(menyanyikan PKJ 145:1-3),1,Announcement
774,Doa Persembahan 	(Jemaat Berdiri),1,Announcement
775,M4:	(Memimpin doa persembahan),1,Announcement
776,Nyanyian Pengutusan,1,Announcement
777,U:	(menyanyikan Pelangi Sehabis Hujan),1,Announcement
783,"PF:	Pulanglah dalam sukacita karena mengingat sabda Tuhan,     bahwa janji-Nya selalu tergenapi. Rancangan-Nya selalu baik untuk manusia. Jalanilah hidup dalam dengan tetap setia pada janji. Tetaplah setia kepada Tuhan Allah Penyelamat, janji setia pada pasangan, keluarga, dan janji setian menjaga kelestarian alam.",1,Announcement
786,U:	(menyanyikan KJ 350),1,Announcement
792,PANGGILAN BERIBADAH 	(Umat Berdiri),1,Announcement
793,"M1:	Saudara yang dikasihi Tuhan, mari kita datang pada Tuhan serta percaya bahwa Dialah yang layak kita puji dan sembah. Kita bersama-sama memuji Tuhan.",1,Announcement
803,KATA PEMBUKA 	(Umat Duduk),1,Announcement
804,"M2:	Berani percaya bukanlah hal yang mudah, terutama saat segala sesuatu seperti tidak mungkin lagi. Tetapi, marilah kita belajar berani percaya seperti Abraham, saat Tuhan memperhitungkan percayanya Abraham, ketika mengatakan bahwa jumlah keturunan Abraham seperti bintang di langit, meskipun seolah mustahil karena saat itu dia sudah lanjut usia.",1,Announcement
805,U	:	Menyanyikan KJ. 68: 1 dan 3,1,Announcement
811,"U	:	(Memuji Tuhan dari KJ. 33: 1, 3 dan 5)",1,Announcement
817,BERITA ANUGERAH 	(Umat Berdiri),1,Announcement
818,"PF	:	Bagi setiap orang yang sungguh-sungguh bertobat, Tuhan menyatakan anugerah-Nya: ""Bagianku ialah TUHAN, aku telah berjanji untuk berpegang pada firman-firman-Mu. Aku memohon belas kasihan-Mu dengan segenap hati, kasihilah aku sesuai dengan janji-Mu"" (Mazmur 119:57-58).",1,Announcement
819,Demikianlah berita anugerah dari Tuhan,1,Announcement
820,U	:	Puji dan syukur kepada Tuhan!,1,Announcement
821,(Menyanyikan NKB.116:1-2),1,Announcement
826,PELAYANAN FIRMAN 	(Umat Duduk),1,Announcement
827,PF:	(Doa Epiklese),1,Announcement
829,"L1:	Bacaan pertama dari Kejadian 17:1-7, 15-16",1,Announcement
830,Demikianlah Sabda Tuhan,1,Announcement
831,U:	Syukur kepada Allah,1,Announcement
832,Mazmur Tanggapan,1,Announcement
833,L2:	Mari kita tanggapi Firman Tuhan dengan membaca Mazmur 22:23-32 secara berbalasan (bisa juga didaraskan),1,Announcement
835,L3:	Bacaan kedua dari Roma 4:13-25,1,Announcement
836,Demikianlah Sabda Tuhan,1,Announcement
837,U:	Syukur kepada Allah,1,Announcement
838,Pembacaan Injil,1,Announcement
839,"PF:	Pembacaan Injil, dari Markus 8:31-38",1,Announcement
840,"Demikian Injil Yesus Kristus, yang berbahagia ialah mereka yang mendengarkan Firman Tuhan dan yang memeliharanya. HOSIANA.",1,Announcement
841,U: 	(menyanyikan HOSIANA),1,Announcement
842,"Khotbah ""Berani Percaya""",1,Announcement
844,PENGAKUAN IMAN 	(Umat Berdiri),1,Announcement
845,"M3:	Saudara yang terkasih, Sabda Tuhan hari ini telah meneguhkan iman kita, maka marilah menyatakan pengakuan iman kita dengan bersama mengucapkan Pengakuan Iman Rasuli",1,Announcement
846,U:	(Bersama-sama mengucapkan Pengakuan Iman Rasuli),1,Announcement
847,DOA SYAFAAT 	(Umat Duduk),1,Announcement
848,"PF:	(Menaikkan doa syafaat, bisa diakhiri dengan Doa Bapa Kami)",1,Announcement
850,"M4:	Saudara yang dikasihi dan diberkati Tuhan, marilah menyatakan syukur kepada Tuhan atas kasih dan pemeliharaan-Nya dalam hidup kita, dengan mengingat Mazmur 136:26, ""Bersyukurlah kepada Allah semesta langit! Bahwasanya untuk selama-lamanya kasih setia-Nya.""",1,Announcement
851,U:	(Memuji Tuhan dari KJ. 291:1-4),1,Announcement
861,DOA PERSEMBAHAN 	(Umat Berdiri),1,Announcement
862,M4:	(Memimpin doa persembahan),1,Announcement
863,PENGUTUSAN (DENGAN NYANYIAN),1,Announcement
864,"U:	(Menyanyikan KJ. 387: 1 dan 5 ""'KU HERAN, ALLAH MAU MEMB'RI)",1,Announcement
871,U:	(menyanyikan HOSIANA 5x AMIN 3x),1,Announcement
874,JEMAAT BERHIMPUN,1,Announcement
875,"PL.:	Memasuki Minggu ketiga Prapaska ini, marilah kita beribadah kepada Tuhan dengan menghayati bahwa kita masuk ke Rumah Tuhan dan mengarahkan diri kepada Kristus Raja Gereja. Dengan bangkit berdiri, mari kita muliakan nama-Nya seraya menyanyikan PKJ 13 ""Kita Masuk Rumah-Nya""",1,Announcement
877,PROSESI  DENGAN NYANYIAN,1,Announcement
878,"U:	(Menyanyikan PKJ 13:1-3. Sementara itu, bersamaan dengan bunyi bel 3x, Penatua & Pelayan Firman berprosesi memasuki ruang kebaktian)",1,Announcement
897,"PL:	Cintaku pada Rumah-Mu. Tema ini akan kita hayati bersama pada hari ini melalui kisah Penyucian Bait Allah yang dilakukan Yesus. Penyediaan hewan-hewan korban dan penukaran uang untuk keperluan peribadatan umat telah bergeser untuk kepentingan sendiri. Ia marah karena Bait Allah tidak lagi dipakai untuk menyatakan cinta manusia kepada Allah, namun hanya untuk kepentingan sendiri.",1,Announcement
898,"Panggilan Allah kepada kita, untuk menyatakan bakti kita kepada-Nya, kita ungkapkan dengan peribadahan yang kita selenggarakan. Menghayati panggilan Tuhan, kita datang bagi-Nya dan puji bagi kemuliaan nama-Nya, melalui KJ 355:1,3 ""YESUS MEMANGGIL""",1,Announcement
899,NYANYIAN PUJIAN,1,Announcement
900,"U: 	(menyanyikan KJ. 355: 1, 3 YESUS MEMANGGIL)",1,Announcement
908,"U: 	(Menyanyikan NKB 203:1,2 ""ADAKAH TEMPAT BAGI-NYA"")",1,Announcement
913,BERITA ANUGERAH,1,Announcement
914,"PF:	Kepada setiap orang yang telah menyesali dan mau bertobat dari segala dosanya, berita anugerah Tuhan berbunyi, „Dosaku kuberitahukan kepada-Mu dan kesalahanku tidaklah kusembunyikan; aku berkata: ""Aku akan mengaku kepada TUHAN pelanggaran-pelanggaranku,"" dan Engkau mengampuni kesalahan karena dosaku."" (Mazmur 32:5).",1,Announcement
915,Demikianlah berita anugerah dari Tuhan!,1,Announcement
916,U: 	Syukur kepada Allah!,1,Announcement
917,"(Umat bersalam namaste dan memberikan ucapan:  ""Damai Kristus besertamu"")",1,Announcement
919,"(Umat menyatakan tekad hidup barunya dengan menyanyikan KJ 376:1,4)",1,Announcement
930,PELAYANAN FIRMAN,1,Announcement
931,Doa Pelayanan Firman,1,Announcement
932,PF: 	(Berdoa mohon pertolongan Roh Kudus),1,Announcement
933,Pembacaan Alkitab,1,Announcement
935,L1: 	Keluaran 17:1-7,1,Announcement
936,Demikianlah sabda Tuhan.,1,Announcement
937,U: 	Syukur kepada Allah.,1,Announcement
938,Mazmur Tanggapan,1,Announcement
939,L2: 	Mari kita tanggapi Firman Tuhan dengan membaca Mazmur 19 secara litani (bisa juga didaraskan),1,Announcement
941,L3:	1 Korintus 1:18-25.,1,Announcement
942,Demikianlah sabda Tuhan.,1,Announcement
943,U: 	Syukur kepada Allah.,1,Announcement
945,PF: 	Bacaan Injil diambil dari Yohanes 2:13-22,1,Announcement
946,"Demikian Injil Yesus Kristus, yang berbahagia ialah mereka yang mendengarkan Firman Tuhan dan yang memeliharanya. HOSIANA.",1,Announcement
947,U: 	(Menyanyikan) Hosiana (3x).,1,Announcement
948,Khotbah: Cintaku Pada Rumah-MU,1,Announcement
952,"Pnt: 	Marilah, sebagai bagian dari umat Tuhan di dunia dan di segala zaman, kita mengingat dan menegaskan kembali iman kita dengan mengucapkan ulang Pengakuan Iman Rasuli yang demikian ....",1,Announcement
953,U: 	Aku percaya … dst.,1,Announcement
956,PF: 	(memimpin doa syafaat),1,Announcement
958,Nas Persembahan,1,Announcement
959,"Pnt: 	Marilah kita mengingat kasih-Nya melalui persembahan yang kita haturkan pada-Nya. Firman Tuhan dari 1 Petrus 2:5,""Dan biarlah kamu juga dipergunakan sebagai batu hidup untuk pembangunan suatu rumah rohani, bagi suatu imamat kudus, untuk mempersembahkan persembahan rohani yang karena Yesus Kristus berkenan kepada Allah.""",1,Announcement
960,"Persembahan diiringi nyanyian PKJ 146:1-3 ""Bawa Persembahanmu""",1,Announcement
961,Nyanyian Jemaat,1,Announcement
962,"U: 	(menyanyikan PKJ. 146:1-3, Umat memberikan persembahannya).",1,Announcement
970,Doa Persembahan,1,Announcement
971,Dkn/Pnt: (Berdoa syukur dan doa Bapa Kami),1,Announcement
974,(Doa Bapa Kami juga dapat dinyanyikan),1,Announcement
977,Nyanyian Pengutusan,1,Announcement
978,"J: 	(Menyanyikan, PKJ 264)",1,Announcement
985,"PF: 	Saudaraku, rayakanlah setiap perjumpaan dengan Kristus dalam kehidupan Saudara ….",1,Announcement
986,kini arahkanlah hatimu kepada Tuhan!,1,Announcement
987,U: 	Kami mengarahkan hati kami kepada Tuhan.,1,Announcement
988,PF: 	Jadilah saksi Kristus dengan memberlakukan kasih di tengah dunia,1,Announcement
989,U: 	Syukur kepada Allah.,1,Announcement
990,"PF: 	Terpujilah Tuhan, Sumber Kehidupan!",1,Announcement
991,U: 	Kini dan selamanya.,1,Announcement
995,U:		(menyanyikan) HOSIANA (5x) AMIN (3x),1,Announcement
996,"(Ibadah selesai, PF turun dari mimbar mengikuti Pnt/Imam )",1,Announcement
1003,BERHIMPUN MENGHADAP-NYA,1,Announcement
1005,"PL:   	Allah hadir di sini, mengundang kita",1,Announcement
1006,Allah hadir di  sini 'tuk memberi anugerah-Nya,1,Announcement
1007,Mari bangkit berdiri menyambut rahmat-Nya dengan puji dan syukur kita,1,Announcement
1009,"Jemaat Menyanyikan KJ 18:1,4",1,Announcement
1026,"PL:  	Hari ini kita akan menggumuli tema Anugerah Kasih Allah Yang Menghidupkan. Melalui ibadah kita diajak untuk memahami dan mengalami anugerah kasih Allah dalam Kristus yang membawa kehidupan, keselamatan dan pemulihan bagi kita yang berdosa. Melalui tema ini kita juga diajak mengalirkan kasih Allah yang membawa kehidupan bagi sesama kita.",1,Announcement
1027,MENYANYI BERSAMA,1,Announcement
1031,MENGAKUI DOSA (dalam doa dan nyanyian),1,Announcement
1042,"(Menyanyi bersama lagu KJ 29:1-3 ""DI MUKA TUHAN YESUS"")",1,Announcement
1050,BERITA ANUGERAH,1,Announcement
1051,"PL:	Sebab, jika oleh dosa satu orang, maut telah berkuasa oleh satu orang itu, maka lebih benar lagi mereka, yang telah menerima kelimpahan kasih karunia dan anugerah kebenaran, akan hidup-dan berkuasa oleh karena satu orang itu, yaitu Yesus Kristus (Roma 5:17).",1,Announcement
1052,Demikianlah berita anugerah dari Tuhan,1,Announcement
1053,U:	Syukur kepada Allah,1,Announcement
1054,"(Jemaat mengucapkan; ""Salam Damai"" dan salam namaste)",1,Announcement
1055,MENYANYI BERSAMA,1,Announcement
1056,"PKJ 128:1-3 ""KASIH TUHAN YESUS TIADA BERTEPI""",1,Announcement
1061,MENDENGAR SABDA-NYA,1,Announcement
1062,DOA EPIKLESE - MOHON PENERANGAN ROH KUDUS,1,Announcement
1063,PF:	Menaikkan doa mohon hikmat Allah,1,Announcement
1064,PEMBACAAN ALKITAB,1,Announcement
1066,L:   	Bacaan pertama diambil dari Bilangan pasal 1 ayat 4 sd 9,1,Announcement
1067,"(L membacakannya …  setelah selesai), Demikianlah Sabda Tuhan",1,Announcement
1068,U:  	Syukur kepada Allah,1,Announcement
1070,"L:   	Marilah kita menanggapi bacaan tadi dengan Mazmur 107:1-3, 17-22",1,Announcement
1071,(L membacakannya/Pemazmur menyanyikannya bersama Umat),1,Announcement
1073,L:	Bacaan kedua diambil dari Efesus 2:1-10,1,Announcement
